Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Worker,3,1,"52.517561, 13.256041","52.454337, 13.293454",7:15 - 7:30,Mon,Home - Office,0,0,0,1
Worker,3,2,"52.454337, 13.293454","52.517561, 13.256041",17:45 - 18:00,Mon,Office - Home,0,0,1,0
Worker,3,3,"52.517561, 13.256041","52.454337, 13.293454",7:15 - 7:30,Tue,Home - Office,0,1,1,0
Worker,3,4,"52.454337, 13.293454","52.517561, 13.256041",17:45 - 18:00,Tue,Office - Home,1,1,0,1
Worker,3,5,"52.517561, 13.256041","52.454337, 13.293454",7:45 - 8:00,Wed,Home - Office,0,0,0,1
Worker,3,6,"52.454337, 13.293454","52.517561, 13.256041",18:15 - 18:30,Wed,Office - Home,1,0,1,0
Worker,3,7,"52.517561, 13.256041","52.454337, 13.293454",7:45 - 8:00,Thu,Home - Office,1,0,1,1
Worker,3,8,"52.454337, 13.293454","52.517561, 13.256041",17:30 - 17:45,Thu,Office - Home,1,1,1,1
Worker,3,9,"52.517561, 13.256041","52.454337, 13.293454",7:45 - 8:00,Fri,Home - Office,0,1,1,1
Worker,3,10,"52.454337, 13.293454","52.517561, 13.256041",15:45 - 16:00,Fri,Office - Home,0,0,1,0
Worker,3,11,"52.517561, 13.256041","52.513013, 13.265704",10:45 - 11:00,Sat,Home - Shopping,1,0,0,1
Worker,3,12,"52.513013, 13.265704","52.517561, 13.256041",11:45 - 12:00,Sat,Shopping - Home,1,0,0,0
Worker,3,13,"52.517561, 13.256041","52.512020, 13.403904",9:30 - 9:45,Sun,Home - Sport,1,0,1,0
Worker,3,14,"52.512020, 13.403904","52.517561, 13.256041",12:00 - 12:15,Sun,Sport - Home,0,1,0,1
