Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Family People,2,1,"52.488474, 13.424175","52.525043, 13.369165",6:15 - 6:30,Mon,Home - Work,0,1,0,1
Family People,2,2,"52.525043, 13.369165","52.492380, 13.404814",13:30 - 13:45,Mon,Work - School,0,0,1,0
Family People,2,3,"52.492380, 13.404814","52.488474, 13.424175",14:30 - 14:45,Mon,School - Home,1,1,0,0
Family People,2,4,"52.488474, 13.424175","52.525043, 13.369165",6:15 - 6:30,Tue,Home - Work,0,0,1,0
Family People,2,5,"52.525043, 13.369165","52.492380, 13.404814",13:30 - 13:45,Tue,Work - School,0,1,1,1
Family People,2,6,"52.492380, 13.404814","52.488474, 13.424175",14:30 - 14:45,Tue,School - Home,0,1,1,0
Family People,2,7,"52.488474, 13.424175","52.525043, 13.369165",6:15 - 6:30,Wed,Home - Work,1,0,1,1
Family People,2,8,"52.525043, 13.369165","52.492380, 13.404814",13:15 - 13:30,Wed,Work - School,1,1,0,0
Family People,2,9,"52.492380, 13.404814","52.488474, 13.424175",14:30 - 14:45,Wed,School - Home,1,0,1,0
Family People,2,10,"52.488474, 13.424175","52.525043, 13.369165",6:15 - 6:30,Thu,Home - Work,1,0,1,0
Family People,2,11,"52.525043, 13.369165","52.492380, 13.404814",13:15 - 13:30,Thu,Work - School,1,0,1,1
Family People,2,12,"52.492380, 13.404814","52.488474, 13.424175",14:45 - 15:00,Thu,School - Home,0,1,1,0
Family People,2,13,"52.488474, 13.424175","52.525043, 13.369165",6:15 - 6:30,Fri,Home - Work,0,1,1,1
Family People,2,14,"52.525043, 13.369165","52.492380, 13.404814",13:15 - 13:30,Fri,Work - School,1,1,1,1
Family People,2,15,"52.492380, 13.404814","52.488474, 13.424175",14:45 - 15:00,Fri,School - Home,1,0,0,1
Family People,2,16,"52.488474, 13.424175","52.491317, 13.417726",8:45 - 9:00,Sat,Home - Shopping,0,0,1,0
Family People,2,17,"52.491317, 13.417726","52.488474, 13.424175",9:45 - 10:00,Sat,Shopping - Home,1,0,0,1
Family People,2,18,"52.488474, 13.424175","52.525043, 13.369165",11:30 - 11:45,Sun,Home - Work,1,0,0,0
Family People,2,19,"52.525043, 13.369165","52.488474, 13.424175",17:00 - 17:15,Sun,Work - Home,0,0,1,1
