Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Student,3,1,"52.497801, 13.413832","52.523404, 13.378317",8:30 - 8:45,Mon,Home - Uni,1,1,0,1
Student,3,2,"52.523404, 13.378317","52.497801, 13.413832",16:45 - 17:00,Mon,Uni - Home,0,1,1,0
Student,3,3,"52.497801, 13.413832","52.542317, 13.348278",7:00 - 7:15,Tue,Home - Hospital,1,1,0,0
Student,3,4,"52.542317, 13.348278","52.497801, 13.413832",18:30 - 18:45,Tue,Hospital - Home,1,1,0,1
Student,3,5,"52.497801, 13.413832","52.542317, 13.348278",7:00 - 7:15,Wed,Home - Hospital,1,1,1,0
Student,3,6,"52.542317, 13.348278","52.497801, 13.413832",18:45 - 19:00,Wed,Hospital - Home,1,1,1,1
Student,3,7,"52.497801, 13.413832","52.523404, 13.378317",8:30 - 8:45,Thu,Home - Uni,1,1,1,0
Student,3,8,"52.523404, 13.378317","52.497801, 13.413832",16:15 - 16:30,Thu,Uni - Home,1,1,1,0
Student,3,9,"52.497801, 13.413832","52.542317, 13.348278",7:00 - 7:15,Fri,Home - Hospital,1,0,1,0
Student,3,10,"52.542317, 13.348278","52.497801, 13.413832",18:30 - 18:45,Fri,Hospital - Home,0,0,1,1
Student,3,11,"52.497801, 13.413832","52.496833, 13.419932",14:15 - 14:30,Sat,Home - Shopping,1,0,1,0
Student,3,12,"52.496833, 13.419932","52.497801, 13.413832",15:45 - 16:00,Sat,Shopping - Home,1,0,0,1
Student,3,13,"52.497801, 13.413832","52.526450, 13.327647",10:15 - 10:30,Sun,Home - Relative Visit,1,0,1,1
Student,3,14,"52.526450, 13.327647","52.497801, 13.413832",17:30 - 17:45,Sun,Relative Visit - Home,1,0,1,0
