Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Family People,1,1,"52.559915, 13.382835","52.557783, 13.384280",6:45 - 7:00,Mon,Home - School,1,0,1,1
Family People,1,2,"52.557783, 13.384280","52.545831, 13.359603",7:15 - 7:30,Mon,School - Work,1,0,0,1
Family People,1,3,"52.545831, 13.359603","52.557783, 13.384280",14:15 - 14:30,Mon,Work - School,1,0,1,0
Family People,1,4,"52.557783, 13.384280","52.559915, 13.382835",15:00 - 15:15,Mon,School - Home,1,1,0,1
Family People,1,5,"52.559915, 13.382835","52.557783, 13.384280",6:45 - 7:00,Tue,Home - School,0,0,1,1
Family People,1,6,"52.557783, 13.384280","52.545831, 13.359603",7:15 - 7:30,Tue,School - Work,0,1,0,0
Family People,1,7,"52.545831, 13.359603","52.557783, 13.384280",14:15 - 14:30,Tue,Work - School,0,1,0,0
Family People,1,8,"52.557783, 13.384280","52.559915, 13.382835",15:00 - 15:15,Tue,School - Home,0,1,0,1
Family People,1,9,"52.545831, 13.359603","52.557783, 13.384280",14:15 - 14:30,Wed,Work - School,1,0,0,1
Family People,1,10,"52.557783, 13.384280","52.559915, 13.382835",15:00 - 15:15,Wed,School - Home,0,1,0,1
Family People,1,11,"52.559915, 13.382835","52.557783, 13.384280",6:45 - 7:00,Thu,Home - School,1,1,0,1
Family People,1,12,"52.557783, 13.384280","52.545831, 13.359603",7:15 - 7:30,Thu,School - Work,0,1,0,0
Family People,1,13,"52.545831, 13.359603","52.557783, 13.384280",14:15 - 14:30,Thu,Work - School,1,0,0,1
Family People,1,14,"52.557783, 13.384280","52.559915, 13.382835",15:00 - 15:15,Thu,School - Home,0,1,0,0
Family People,1,15,"52.559915, 13.382835","52.557783, 13.384280",6:45 - 7:00,Fri,Home - School,1,0,0,0
Family People,1,16,"52.557783, 13.384280","52.545831, 13.359603",7:15 - 7:30,Fri,School - Work,1,1,0,0
Family People,1,17,"52.545831, 13.359603","52.558635, 13.385466",14:15 - 14:30,Fri,Work - Shopping,0,1,1,0
Family People,1,18,"52.558635, 13.385466","52.559915, 13.382835",15:15 - 15:30,Fri,Shopping - Home,1,1,0,1
Family People,1,19,"52.559915, 13.382835","52.545831, 13.359603",7:30 - 7:45,Sat,Home - Work,0,0,1,0
Family People,1,20,"52.545831, 13.359603","52.559915, 13.382835",13:45 - 14:00,Sat,Work - Home,0,1,0,1
Family People,1,21,"52.559915, 13.382835","52.526160, 13.335617",10:00 - 10:15,Sun,Home - Family Visit,1,0,0,1
Family People,1,22,"52.526160, 13.335617","52.559915, 13.382835",15:15 - 15:30,Sun,Family Visit - Home,1,0,1,0
