Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Worker,4,1,"52.496657, 13.433538","52.539304, 13.364162",7:00 - 7:15,Mon,Home - Office,1,0,0,0
Worker,4,2,"52.539304, 13.364162","52.496657, 13.433538",15:45 - 16:00,Mon,Office - Home,0,0,1,1
Worker,4,3,"52.496657, 13.433538","52.539304, 13.364162",7:00 - 7:15,Tue,Home - Office,1,1,0,0
Worker,4,4,"52.539304, 13.364162","52.496657, 13.433538",15:45 - 16:00,Tue,Office - Home,1,0,0,1
Worker,4,5,"52.496657, 13.433538","52.539304, 13.364162",7:00 - 7:15,Wed,Home - Office,1,1,0,0
Worker,4,6,"52.539304, 13.364162","52.496657, 13.433538",15:30 - 15:45,Wed,Office - Home,0,0,1,1
Worker,4,7,"52.496657, 13.433538","52.539304, 13.364162",7:00 - 7:15,Thu,Home - Office,1,1,1,1
Worker,4,8,"52.539304, 13.364162","52.496657, 13.433538",15:30 - 15:45,Thu,Office - Home,1,1,0,1
Worker,4,9,"52.496657, 13.433538","52.539304, 13.364162",7:30 - 7:45,Fri,Home - Office,0,0,0,1
Worker,4,10,"52.539304, 13.364162","52.496657, 13.433538",15:15 - 15:30,Fri,Office - Home,1,1,0,0
Worker,4,11,"52.496657, 13.433538","52.500746, 13.434749",13:00 - 13:15,Sat,Home - Shopping,0,0,0,1
Worker,4,12,"52.500746, 13.434749","52.496657, 13.433538",14:30 - 14:45,Sat,Shopping - Home,0,0,0,1
Worker,4,13,"52.496657, 13.433538","52.513635, 13.462833",9:45 - 10:00,Sun,Home - Sport,0,0,1,1
Worker,4,14,"52.513635, 13.462833","52.510042, 13.458329",12:30 - 12:45,Sun,Sport - Lunch,1,1,1,1
Worker,4,15,"52.510042, 13.458329","52.496657, 13.433538",15:00 - 15:15,Sun,Lunch - Home,0,0,1,1
