Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Student,1,1,"52.501809, 13.453848","52.517600, 13.393811",8:00 - 8:15,Mon,Home - Uni,0,0,0,1
Student,1,2,"52.517600, 13.393811","52.501809, 13.453848",16:30 - 16:45,Mon,Uni - Home,1,1,0,0
Student,1,3,"52.501809, 13.453848","52.517600, 13.393811",8:15 - 8:30,Tue,Home - Uni,1,0,1,0
Student,1,4,"52.517600, 13.393811","52.512020, 13.403904",17:00 - 17:15,Tue,Uni -Sport,1,1,1,0
Student,1,5,"52.512020, 13.403904","52.501809, 13.453848",19:45 - 20:00,Tue,Sport - Home,1,1,1,0
Student,1,6,"52.501809, 13.453848","52.517600, 13.393811",8:00 - 8:15,Wed,Home - Uni,1,1,1,1
Student,1,7,"52.517600, 13.393811","52.501809, 13.453848",16:30 - 16:45,Wed,Uni - Home,1,0,1,1
Student,1,8,"52.501809, 13.453848","52.517600, 13.393811",8:30 - 8:45,Thu,Home - Uni,1,0,1,1
Student,1,9,"52.517600, 13.393811","52.501809, 13.453848",16:15 - 16:30,Thu,Uni - Home,1,0,1,0
Student,1,10,"52.501809, 13.453848","52.517600, 13.393811",8:00 - 8:15,Fri,Home - Uni,0,0,1,1
Student,1,11,"52.517600, 13.393811","52.490453, 13.410370",16:45 - 17:00,Fri,Uni -Sport,0,0,1,0
Student,1,12,"52.490453, 13.410370","52.501809, 13.453848",19:30 - 19:45,Fri,Sport - Home,1,1,0,1
Student,1,13,"52.501809, 13.453848","52.504867, 13.449691",9:15 - 9:30,Sat,Home - Shopping,0,0,1,1
Student,1,14,"52.504867, 13.449691","52.501809, 13.453848",10:30 - 10:45,Sat,Shopping - Home,1,0,1,1
Student,1,15,"52.501809, 13.453848","52.512020, 13.403904",14:00 - 14:15,Sun,Home - Sport,1,1,1,0
Student,1,16,"52.512020, 13.403904","52.501809, 13.453848",17:00 - 17:15,Sun,Sport - Home,0,1,0,0
