Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Family People,4,1,"52.511194, 13.304392","52.521278, 13.287749",8:00 - 8:15,Mon,Home - School,1,1,1,1
Family People,4,2,"52.521278, 13.287749","52.511194, 13.304392",9:30 - 9:45,Mon,School - Home,0,1,1,1
Family People,4,3,"52.511194, 13.304392","52.521278, 13.287749",13:45 - 14:00,Mon,Home - School,0,0,0,1
Family People,4,4,"52.521278, 13.287749","52.511194, 13.304392",14:00 - 14:15,Mon,School - Home,1,0,1,0
Family People,4,5,"52.511194, 13.304392","52.521278, 13.287749",8:00 - 8:15,Tue,Home - School,0,1,1,0
Family People,4,6,"52.521278, 13.287749","52.511194, 13.304392",9:30 - 9:45,Tue,School - Home,0,0,1,1
Family People,4,7,"52.511194, 13.304392","52.521278, 13.287749",13:45 - 14:00,Tue,Home - School,1,0,1,0
Family People,4,8,"52.521278, 13.287749","52.511194, 13.304392",14:00 - 14:15,Tue,School - Home,1,1,1,1
Family People,4,9,"52.511194, 13.304392","52.521278, 13.287749",8:00 - 8:15,Wed,Home - School,0,1,0,1
Family People,4,10,"52.521278, 13.287749","52.511194, 13.304392",9:30 - 9:45,Wed,School - Home,1,0,1,0
Family People,4,11,"52.511194, 13.304392","52.521278, 13.287749",13:30 - 13:45,Wed,Home - School,1,1,0,0
Family People,4,12,"52.521278, 13.287749","52.511194, 13.304392",14:00 - 14:15,Wed,School - Home,0,1,1,0
Family People,4,13,"52.511194, 13.304392","52.521278, 13.287749",8:00 - 8:15,Thu,Home - School,1,0,1,1
Family People,4,14,"52.521278, 13.287749","52.511194, 13.304392",9:30 - 9:45,Thu,School - Home,0,0,0,1
Family People,4,15,"52.511194, 13.304392","52.521278, 13.287749",13:00 - 13:15,Thu,Home - School,0,1,1,1
Family People,4,16,"52.521278, 13.287749","52.511194, 13.304392",14:00 - 14:15,Thu,School - Home,0,1,1,1
Family People,4,17,"52.511194, 13.304392","52.521278, 13.287749",8:00 - 8:15,Fri,Home - School,0,1,1,0
Family People,4,18,"52.521278, 13.287749","52.511194, 13.304392",9:30 - 9:45,Fri,School - Home,0,1,0,0
Family People,4,19,"52.511194, 13.304392","52.521278, 13.287749",13:00 - 13:15,Fri,Home - School,0,1,0,1
Family People,4,20,"52.521278, 13.287749","52.511194, 13.304392",14:00 - 14:15,Fri,School - Home,1,1,0,0
Family People,4,21,"52.511194, 13.304392","52.516672, 13.310188",9:00 - 9:15,Sat,Home - Shopping,0,1,1,0
Family People,4,22,"52.516672, 13.310188","52.511194, 13.304392",10:30 - 10:45,Sat,Shopping - Home,0,1,1,0
Family People,4,23,"52.511194, 13.304392","52.529460, 13.392892",9:00 - 9:15,Sun,Home - Sport,1,0,1,1
Family People,4,24,"52.529460, 13.392892","52.527730, 13.390937",12:45 - 13:00,Sun,Sport - Lunch,0,1,1,1
Family People,4,25,"52.527730, 13.390937","52.511194, 13.304392",14:30 - 14:45,Sun,Lunch - Home,1,0,0,1
