Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Worker,5,1,"52.511628, 13.422725","52.523691, 13.373200",7:15 - 7:30,Mon,Home - Office,1,0,0,0
Worker,5,2,"52.523691, 13.373200","52.511628, 13.422725",19:00 - 19:15,Mon,Office - Home,1,0,0,0
Worker,5,3,"52.511628, 13.422725","52.523691, 13.373200",7:15 - 7:30,Tue,Home - Office,0,0,1,0
Worker,5,4,"52.523691, 13.373200","52.511628, 13.422725",19:00 - 19:15,Tue,Office - Home,1,1,0,1
Worker,5,5,"52.511628, 13.422725","52.523691, 13.373200",7:15 - 7:30,Wed,Home - Office,1,0,1,0
Worker,5,6,"52.523691, 13.373200","52.511628, 13.422725",19:00 - 19:15,Wed,Office - Home,1,1,0,0
Worker,5,7,"52.511628, 13.422725","52.523691, 13.373200",8:00 - 8:15,Thu,Home - Office,0,0,0,1
Worker,5,8,"52.523691, 13.373200","52.511628, 13.422725",19:00 - 19:15,Thu,Office - Home,0,1,0,1
Worker,5,9,"52.511628, 13.422725","52.523691, 13.373200",8:00 - 8:15,Fri,Home - Office,0,1,1,0
Worker,5,10,"52.523691, 13.373200","52.511628, 13.422725",19:00 - 19:15,Fri,Office - Home,0,1,0,0
Worker,5,11,"52.511628, 13.422725","52.507820, 13.415421",13:45 - 14:00,Sat,Home - Shopping,1,0,1,1
Worker,5,12,"52.507820, 13.415421","52.511628, 13.422725",14:45 - 15:00,Sat,Shopping - Home,1,0,1,0
Worker,5,13,"52.511628, 13.422725","52.526889, 13.406161",8:30 - 8:45,Sun,Home - Sport,0,1,1,0
Worker,5,14,"52.526889, 13.406161","52.511628, 13.422725",11:00 - 11:15,Sun,Sport - Home,0,0,1,0
