Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Family People,5,1,"52.530273, 13.333339","52.527868, 13.334314",7:00 - 7:15,Mon,Home - School,0,0,1,1
Family People,5,2,"52.527868, 13.334314","52.524447, 13.351458",8:15 - 8:30,Mon,School - Work,1,1,0,1
Family People,5,3,"52.524447, 13.351458","52.530273, 13.333339",15:45 - 16:00,Mon,Work - Home,0,1,0,0
Family People,5,4,"52.530273, 13.333339","52.527868, 13.334314",7:00 - 7:15,Tue,Home - School,1,1,1,0
Family People,5,5,"52.527868, 13.334314","52.524447, 13.351458",8:15 - 8:30,Tue,School - Work,0,1,0,1
Family People,5,6,"52.524447, 13.351458","52.530273, 13.333339",15:45 - 16:00,Tue,Work - Home,0,1,0,0
Family People,5,7,"52.530273, 13.333339","52.527868, 13.334314",7:00 - 7:15,Wed,Home - School,0,1,0,1
Family People,5,8,"52.527868, 13.334314","52.524447, 13.351458",8:15 - 8:30,Wed,School - Work,1,1,1,0
Family People,5,9,"52.524447, 13.351458","52.530273, 13.333339",15:30 - 15:45,Wed,Work - Home,1,0,1,1
Family People,5,10,"52.530273, 13.333339","52.527868, 13.334314",7:00 - 7:15,Thu,Home - School,1,1,0,1
Family People,5,11,"52.527868, 13.334314","52.524447, 13.351458",8:15 - 8:30,Thu,School - Work,0,1,1,0
Family People,5,12,"52.524447, 13.351458","52.530273, 13.333339",15:30 - 15:45,Thu,Work - Home,0,1,1,1
Family People,5,13,"52.530273, 13.333339","52.527868, 13.334314",7:00 - 7:15,Fri,Home - School,0,1,0,1
Family People,5,14,"52.527868, 13.334314","52.524447, 13.351458",8:15 - 8:30,Fri,School - Work,1,1,0,0
Family People,5,15,"52.524447, 13.351458","52.530273, 13.333339",15:30 - 15:45,Fri,Work - Home,0,1,1,0
Family People,5,16,"52.530273, 13.333339","52.528921, 13.343532",9:15 - 9:30,Sat,Home - Shopping,1,0,1,0
Family People,5,17,"52.528921, 13.343532","52.530273, 13.333339",11:45 - 12:00,Sat,Shopping - Home,0,1,1,0
Family People,5,18,"52.530273, 13.333339","52.532759, 13.345609",15:15 - 15:30,Sun,Home - Church,1,1,0,0
Family People,5,19,"52.532759, 13.345609","52.530273, 13.333339",17:00 - 17:15,Sun,Church - Home,1,0,0,0
