Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Student,5,1,"52.506019, 13.462097","52.535615, 13.401491",8:30 - 8:45,Mon,Home - Office,0,0,1,0
Student,5,2,"52.535615, 13.401491","52.506019, 13.462097",18:00 - 18:15,Mon,Office - Home,0,0,0,1
Student,5,3,"52.506019, 13.462097","52.535615, 13.401491",8:30 - 8:45,Tue,Home - Office,1,0,1,1
Student,5,4,"52.535615, 13.401491","52.506019, 13.462097",18:00 - 18:15,Tue,Office - Home,0,0,1,0
Student,5,5,"52.506019, 13.462097","52.503669, 13.410072",8:45 - 9:00,Wed,Home - Uni,0,0,1,0
Student,5,6,"52.503669, 13.410072","52.506019, 13.462097",16:30 - 16:45,Wed,Uni - Home,0,0,1,1
Student,5,7,"52.506019, 13.462097","52.503669, 13.410072",8:45 - 9:00,Thu,Home - Uni,1,0,0,0
Student,5,8,"52.503669, 13.410072","52.506019, 13.462097",16:30 - 16:45,Thu,Uni - Home,1,1,0,0
Student,5,9,"52.506019, 13.462097","52.503669, 13.410072",9:15 - 9:30,Fri,Home - Uni,0,0,1,1
Student,5,10,"52.503669, 13.410072","52.506019, 13.462097",16:00 - 16:15,Fri,Uni - Home,1,0,0,1
Student,5,11,"52.506019, 13.462097","52.505698, 13.459248",9:15 - 9:30,Sat,Home - Shopping,1,0,1,0
Student,5,12,"52.505698, 13.459248","52.506019, 13.462097",10:15 - 10:30,Sat,Shopping - Home,0,1,1,0
Student,5,13,"52.506019, 13.462097","52.513959, 13.395662",9:30 - 9:45,Sun,Home - Sport,1,0,0,1
Student,5,14,"52.513959, 13.395662","52.506019, 13.462097",13:15 - 13:30,Sun,Sport - Home,1,0,0,1
